nome,pais,regiao,num_minutos_ligacao_mes,porcentagem_tempo_whatsapp
Aaren Derobert,HN,Valle de Ángeles,150,12
Ab McGuiney,DO,Piedra Blanca,149,2
Abby Darcey,CN,Wufeng,21,41
Abraham Ruppertz,MX,La Victoria,80,57
Addie Godar,IE,Valleymount,175,7
Addie Themann,CO,Baraya,151,7
Ade Nuzzetti,ID,Banjar Petak,27,39
Adena Allonby,RU,Kingisepp,22,44
Adham Geach,KG,Talas,75,29
Adiana Vest,ID,Pamakayo,170,17
Ado Atrill,RU,Glotovka,32,1
Adoree Nassy,AF,Ārt Khwājah,147,21
Adria Lisimore,IE,Eadestown,11,38
Adrianna Mully,TH,Nong Kung Si,163,54
Adriena Mohammad,BY,Lahishyn,12,43
Agnese Halsey,CN,Xiabuji,125,1
Aguistin D'Souza,TJ,Konibodom,90,40
Aguste Ayre,BG,Vidin,89,37
Ahmed Bletsor,PL,Łęknica,125,39
Aida Brandsma,ID,Lewotola,27,39
Ailbert Karsh,PH,Gammad,28,36
Ajay Dionisi,ID,Penaraga,172,47
Alain Redholes,FR,Lons-le-Saunier,46,53
Alan Fusco,KP,Kowŏn-ŭp,0,52
Alanson Edmand,PT,Folques,148,39
Alberta Makeswell,CN,Yanqi,191,3
Aldo Kinsella,RU,Sokol,134,31
Aldridge Secker,HT,Petite Rivière de Nippes,27,46
Aleece Defraine,CZ,Krásná Lípa,197,9
Alejandra Jennings,CN,Zhangdiyingzi,139,5
Aleksandr Oller,FR,Longvic,24,38
Aleksandr Slimon,CN,Hualin,13,38
Alex Cheetham,AF,Mazār-e Sharīf,135,38
Alford Lockhart,CN,Jiangkou,24,33
Alika Nayer,CN,Yushang,106,33
Alika Pacheco,AR,Alto Río Senguer,124,5
Alissa Coole,GR,Palaífyto,150,44
Alister Megarry,NP,Bharatpur,189,1
Alverta Swinley,PT,Cabeçudos,109,1
Alvinia Kubas,PH,Limbalod,24,44
Alvinia O'Lagene,LR,Robertsport,30,42
Alyson Grzegorek,PT,Pontinha,13,47
Amalita Matonin,BR,Campo Grande,165,3
Ambrose Tarzey,PL,Ostrowite,102,48
Amelie Fray,CN,Jiangfeng,18,40
Amerigo Shurey,PH,Tabu,30,37
Anabal Challenor,RU,Cherga,18,45
Anabel Tooth,LV,Viesīte,116,2
Anderson Bensen,FR,Valenciennes,160,9
Andras Ranyelld,CN,Wangge’ertang,178,3
Andreas Gorick,BR,Presidente Bernardes,127,35
Andree Alyonov,BA,Orguz,20,36
Andres Lansdale,CN,Lianxia,28,45
Andris Reith,AR,Cosquín,71,4
Andy Fries,HN,Agalteca,29,25
Andy Tribell,BR,São Carlos,117,5
Anett Mathelon,MN,Зуунмод,89,19
